"","series_id","category","actual","method","forecast","horizon","timestamp"
"1","O1","MICRO",4381.08,"NAIVE2",4542.51,1,1
"2","O1","MICRO",4405.63,"NAIVE2",4542.51,2,2
"3","O1","MICRO",4377.02,"NAIVE2",4542.51,3,3
"4","O1","MICRO",4371.18,"NAIVE2",4542.51,4,4
"5","O1","MICRO",4255.07,"NAIVE2",4542.51,5,5
"6","O1","MICRO",4285.44,"NAIVE2",4542.51,6,6
"7","O1","MICRO",4260.68,"NAIVE2",4542.51,7,7
"8","O1","MICRO",4249.63,"NAIVE2",4542.51,8,8
"9","O1","MICRO",4381.08,"SINGLE",4542.51,1,1
"10","O1","MICRO",4405.63,"SINGLE",4542.51,2,2
"11","O1","MICRO",4377.02,"SINGLE",4542.51,3,3
"12","O1","MICRO",4371.18,"SINGLE",4542.51,4,4
"13","O1","MICRO",4255.07,"SINGLE",4542.51,5,5
"14","O1","MICRO",4285.44,"SINGLE",4542.51,6,6
"15","O1","MICRO",4260.68,"SINGLE",4542.51,7,7
"16","O1","MICRO",4249.63,"SINGLE",4542.51,8,8
"17","O1","MICRO",4381.08,"HOLT",4558.64,1,1
"18","O1","MICRO",4405.63,"HOLT",4574.76,2,2
"19","O1","MICRO",4377.02,"HOLT",4590.88,3,3
"20","O1","MICRO",4371.18,"HOLT",4607,4,4
"21","O1","MICRO",4255.07,"HOLT",4623.12,5,5
"22","O1","MICRO",4285.44,"HOLT",4639.24,6,6
"23","O1","MICRO",4260.68,"HOLT",4655.36,7,7
"24","O1","MICRO",4249.63,"HOLT",4671.49,8,8
"25","O1","MICRO",4381.08,"DAMPEN",4541.33,1,1
"26","O1","MICRO",4405.63,"DAMPEN",4541.04,2,2
"27","O1","MICRO",4377.02,"DAMPEN",4540.96,3,3
"28","O1","MICRO",4371.18,"DAMPEN",4540.94,4,4
"29","O1","MICRO",4255.07,"DAMPEN",4540.94,5,5
"30","O1","MICRO",4285.44,"DAMPEN",4540.94,6,6
"31","O1","MICRO",4260.68,"DAMPEN",4540.94,7,7
"32","O1","MICRO",4249.63,"DAMPEN",4540.94,8,8
"33","O1","MICRO",4381.08,"WINTER",4558.64,1,1
"34","O1","MICRO",4405.63,"WINTER",4574.76,2,2
"35","O1","MICRO",4377.02,"WINTER",4590.88,3,3
"36","O1","MICRO",4371.18,"WINTER",4607,4,4
"37","O1","MICRO",4255.07,"WINTER",4623.12,5,5
"38","O1","MICRO",4285.44,"WINTER",4639.24,6,6
"39","O1","MICRO",4260.68,"WINTER",4655.36,7,7
"40","O1","MICRO",4249.63,"WINTER",4671.49,8,8
"41","O1","MICRO",4381.08,"COMB S-H-D",4547.49,1,1
"42","O1","MICRO",4405.63,"COMB S-H-D",4552.77,2,2
"43","O1","MICRO",4377.02,"COMB S-H-D",4558.12,3,3
"44","O1","MICRO",4371.18,"COMB S-H-D",4563.48,4,4
"45","O1","MICRO",4255.07,"COMB S-H-D",4568.86,5,5
"46","O1","MICRO",4285.44,"COMB S-H-D",4574.23,6,6
"47","O1","MICRO",4260.68,"COMB S-H-D",4579.6,7,7
