"","series_id","category","value","timestamp"
"1","O1","MICRO",3060.42,1
"2","O1","MICRO",3021.19,2
"3","O1","MICRO",3301.13,3
"4","O1","MICRO",3287.03,4
"5","O1","MICRO",3080.71,5
"6","O1","MICRO",3160.68,6
"7","O1","MICRO",3077.17,7
"8","O1","MICRO",3023.04,8
"9","O1","MICRO",2976.01,9
"10","O1","MICRO",3199.55,10
"11","O1","MICRO",3219.28,11
"12","O1","MICRO",3266.87,12
"13","O1","MICRO",3228.6,13
"14","O1","MICRO",3108.45,14
"15","O1","MICRO",3052.15,15
"16","O1","MICRO",3081.1,16
"17","O1","MICRO",3072.48,17
"18","O1","MICRO",2989.99,18
"19","O1","MICRO",2983.53,19
"20","O1","MICRO",2978.99,20
"21","O1","MICRO",3075.09,21
"22","O1","MICRO",3259.02,22
"23","O1","MICRO",3252.64,23
"24","O1","MICRO",3197.5,24
"25","O1","MICRO",3095.91,25
"26","O1","MICRO",3213.78,26
"27","O1","MICRO",3174.21,27
"28","O1","MICRO",3196.42,28
"29","O1","MICRO",3752.91,29
"30","O1","MICRO",4238.37,30
"31","O1","MICRO",4140.09,31
"32","O1","MICRO",3959.7,32
"33","O1","MICRO",3892.21,33
"34","O1","MICRO",3892.16,34
"35","O1","MICRO",3757.58,35
"36","O1","MICRO",3738.49,36
"37","O1","MICRO",3626.78,37
"38","O1","MICRO",3658.79,38
"39","O1","MICRO",3723.11,39
"40","O1","MICRO",3710.43,40
"41","O1","MICRO",3640.67,41
"42","O1","MICRO",3676.83,42
"43","O1","MICRO",3642.97,43
"44","O1","MICRO",3676.8,44
"45","O1","MICRO",3635.68,45
"46","O1","MICRO",3687.71,46
"47","O1","MICRO",3649.13,47
"48","O1","MICRO",3857.15,48
"49","O1","MICRO",3930.03,49
"50","O1","MICRO",3737.96,50
"51","O1","MICRO",3774.24,51
"52","O1","MICRO",3767.55,52
"53","O1","MICRO",3699.6,53
"54","O1","MICRO",3620.3,54
"55","O1","MICRO",3641,55
"56","O1","MICRO",3656.02,56
"57","O1","MICRO",3710.94,57
"58","O1","MICRO",3913.79,58
"59","O1","MICRO",3829.84,59
"60","O1","MICRO",3856.37,60
"61","O1","MICRO",3712.15,61
"62","O1","MICRO",3829.26,62
"63","O1","MICRO",4048.86,63
"64","O1","MICRO",4420.14,64
"65","O1","MICRO",4603.3,65
"66","O1","MICRO",4738.44,66
"67","O1","MICRO",4762.83,67
"68","O1","MICRO",4812.26,68
"69","O1","MICRO",4816.1,69
"70","O1","MICRO",4680.41,70
"71","O1","MICRO",4521.21,71
"72","O1","MICRO",4586.8,72
"73","O1","MICRO",4585.28,73
"74","O1","MICRO",4556.63,74
"75","O1","MICRO",4292.69,75
"76","O1","MICRO",4261.42,76
"77","O1","MICRO",4235.59,77
"78","O1","MICRO",4258.32,78
"79","O1","MICRO",4321.97,79
"80","O1","MICRO",4245.44,80
"81","O1","MICRO",4274.12,81
"82","O1","MICRO",4149.42,82
"83","O1","MICRO",4155.7,83
"84","O1","MICRO",4117.26,84
"85","O1","MICRO",4204.07,85
"86","O1","MICRO",4041.04,86
"87","O1","MICRO",4157.26,87
"88","O1","MICRO",4141.84,88
"89","O1","MICRO",4183.9,89
"90","O1","MICRO",4215.39,90
"91","O1","MICRO",4138.89,91
"92","O1","MICRO",4031.36,92
"93","O1","MICRO",4339.38,93
"94","O1","MICRO",4509.34,94
"95","O1","MICRO",4547.25,95
"96","O1","MICRO",4542.51,96
"97","O1","MICRO",4381.08,97
"98","O1","MICRO",4405.63,98
"99","O1","MICRO",4377.02,99
"100","O1","MICRO",4371.18,100
"101","O1","MICRO",4255.07,101
"102","O1","MICRO",4285.44,102
"103","O1","MICRO",4260.68,103
"104","O1","MICRO",4249.63,104
"105","O2","MICRO",5000,1
"106","O2","MICRO",4792.64,2
"107","O2","MICRO",5302.5,3
"108","O2","MICRO",5172.77,4
"109","O2","MICRO",5176.38,5
"110","O2","MICRO",5276.81,6
"111","O2","MICRO",5258.25,7
"112","O2","MICRO",5371.61,8
"113","O2","MICRO",2145.7,9
"114","O2","MICRO",3014.7,10
"115","O2","MICRO",5332.42,11
"116","O2","MICRO",5136.98,12
"117","O2","MICRO",4942.18,13
"118","O2","MICRO",4908.24,14
"119","O2","MICRO",4853.96,15
"120","O2","MICRO",4817.09,16
"121","O2","MICRO",4744.05,17
"122","O2","MICRO",4699.57,18
"123","O2","MICRO",4804.79,19
"124","O2","MICRO",4600.73,20
"125","O2","MICRO",4797.68,21
"126","O2","MICRO",5110.08,22
"127","O2","MICRO",5078.75,23
"128","O2","MICRO",5018.96,24
"129","O2","MICRO",4011.86,25
"130","O2","MICRO",4090.48,26
"131","O2","MICRO",4913.46,27
"132","O2","MICRO",4240.02,28
"133","O2","MICRO",6509.79,29
"134","O2","MICRO",7859.62,30
"135","O2","MICRO",6363.76,31
"136","O2","MICRO",7003.48,32
"137","O2","MICRO",6958.76,33
"138","O2","MICRO",6733.07,34
"139","O2","MICRO",6469.06,35
"140","O2","MICRO",6330.34,36
"141","O2","MICRO",6039.73,37
"142","O2","MICRO",6086.94,38
"143","O2","MICRO",6109.5,39
"144","O2","MICRO",6257.65,40
"145","O2","MICRO",6082.85,41
"146","O2","MICRO",5741.47,42
"147","O2","MICRO",5662.94,43
"148","O2","MICRO",5767.05,44
"149","O2","MICRO",4777.08,45
"150","O2","MICRO",5908.48,46
"151","O2","MICRO",5807.5,47
"152","O2","MICRO",5975.05,48
"153","O2","MICRO",6344.21,49
"154","O2","MICRO",5874.56,50
"155","O2","MICRO",5909.35,51
"156","O2","MICRO",5773.7,52
"157","O2","MICRO",5636.26,53
"158","O2","MICRO",5596.33,54
"159","O2","MICRO",5469.31,55
"160","O2","MICRO",5511.6,56
"161","O2","MICRO",5692.81,57
"162","O2","MICRO",6051.92,58
"163","O2","MICRO",6041.71,59
"164","O2","MICRO",6172.7,60
"165","O2","MICRO",3720.53,61
"166","O2","MICRO",2334.49,62
"167","O2","MICRO",5925.71,63
"168","O2","MICRO",6911.53,64
"169","O2","MICRO",7087.86,65
"170","O2","MICRO",7285.18,66
"171","O2","MICRO",7432.69,67
"172","O2","MICRO",7402.42,68
"173","O2","MICRO",7213.8,69
"174","O2","MICRO",7045.13,70
"175","O2","MICRO",6491.6,71
