"","series_id","category","value","timestamp"
"1","Y1","MICRO",940.66,1975
"2","Y1","MICRO",1084.86,1976
"3","Y1","MICRO",1244.98,1977
"4","Y1","MICRO",1445.02,1978
"5","Y1","MICRO",1683.17,1979
"6","Y1","MICRO",2038.15,1980
"7","Y1","MICRO",2342.52,1981
"8","Y1","MICRO",2602.45,1982
"9","Y1","MICRO",2927.87,1983
"10","Y1","MICRO",3103.96,1984
"11","Y1","MICRO",3360.27,1985
"12","Y1","MICRO",3807.63,1986
"13","Y1","MICRO",4387.88,1987
"14","Y1","MICRO",4936.99,1988
"15","Y1","MICRO",5379.75,1989
"16","Y1","MICRO",6158.68,1990
"17","Y1","MICRO",6876.58,1991
"18","Y1","MICRO",7851.91,1992
"19","Y1","MICRO",8407.84,1993
"20","Y1","MICRO",9156.01,1994
"21","Y2","MICRO",1991.05,1975
"22","Y2","MICRO",2306.4,1976
"23","Y2","MICRO",2604,1977
"24","Y2","MICRO",2992.3,1978
"25","Y2","MICRO",3722.08,1979
"26","Y2","MICRO",5226.62,1980
"27","Y2","MICRO",5989.46,1981
"28","Y2","MICRO",5614.62,1982
"29","Y2","MICRO",5527,1983
"30","Y2","MICRO",5389.8,1984
"31","Y2","MICRO",5384.4,1985
"32","Y2","MICRO",3656.2,1986
"33","Y2","MICRO",4034.8,1987
"34","Y2","MICRO",4230,1988
"35","Y2","MICRO",4793.2,1989
"36","Y2","MICRO",5602,1990
"37","Y2","MICRO",5065,1991
"38","Y2","MICRO",5056,1992
"39","Y2","MICRO",5067.2,1993
"40","Y2","MICRO",5209.6,1994
"41","Y3","MICRO",1461.57,1975
"42","Y3","MICRO",1692.5,1976
"43","Y3","MICRO",2193.82,1977
"44","Y3","MICRO",2459.68,1978
"45","Y3","MICRO",3246.8,1979
"46","Y3","MICRO",4748.86,1980
"47","Y3","MICRO",5559.46,1981
"48","Y3","MICRO",5292.42,1982
"49","Y3","MICRO",5029.4,1983
"50","Y3","MICRO",4753.6,1984
"51","Y3","MICRO",4344.6,1985
"52","Y3","MICRO",2897.4,1986
"53","Y3","MICRO",3256.4,1987
"54","Y3","MICRO",3525.2,1988
"55","Y3","MICRO",3070.2,1989
"56","Y3","MICRO",3601.6,1990
"57","Y3","MICRO",3407.4,1991
"58","Y3","MICRO",3500.6,1992
"59","Y3","MICRO",3437.8,1993
"60","Y3","MICRO",3007,1994
"61","Y4","MICRO",744.54,1975
"62","Y4","MICRO",1105.16,1976
"63","Y4","MICRO",1417.4,1977
"64","Y4","MICRO",1838.04,1978
"65","Y4","MICRO",2337.62,1979
"66","Y4","MICRO",3094.88,1980
"67","Y4","MICRO",4280.04,1981
"68","Y4","MICRO",5070.2,1982
"69","Y4","MICRO",3675.18,1983
"70","Y4","MICRO",3667.38,1984
"71","Y4","MICRO",3808.64,1985
"72","Y4","MICRO",3114.42,1986
"73","Y4","MICRO",3847.2,1987
"74","Y4","MICRO",4632.3,1988
"75","Y4","MICRO",4656,1989
"76","Y4","MICRO",5228.52,1990
"77","Y4","MICRO",5656.72,1991
"78","Y4","MICRO",5077.02,1992
"79","Y4","MICRO",5403.4,1993
"80","Y4","MICRO",5009.52,1994
