"","series","method","timestamp","origin_timestamp","actual","forecast","Lo80","Hi80","Lo95","Hi95"
"1","Q1","ARIMA",1984 Q1,1992 Q4,3142.63,NA,NA,NA,NA,NA
"2","Q1","ARIMA",1984 Q2,1992 Q4,3190.75,NA,NA,NA,NA,NA
"3","Q1","ARIMA",1984 Q3,1992 Q4,3178.69,NA,NA,NA,NA,NA
"4","Q1","ARIMA",1984 Q4,1992 Q4,3170.94,NA,NA,NA,NA,NA
"5","Q1","ARIMA",1985 Q1,1992 Q4,3124.38,NA,NA,NA,NA,NA
"6","Q1","ARIMA",1985 Q2,1992 Q4,3170,NA,NA,NA,NA,NA
"7","Q1","ARIMA",1985 Q3,1992 Q4,3200.94,NA,NA,NA,NA,NA
"8","Q1","ARIMA",1985 Q4,1992 Q4,3176.75,NA,NA,NA,NA,NA
"9","Q1","ARIMA",1986 Q1,1992 Q4,3170.44,NA,NA,NA,NA,NA
"10","Q1","ARIMA",1986 Q2,1992 Q4,3268.67,NA,NA,NA,NA,NA
"11","Q1","ARIMA",1986 Q3,1992 Q4,3198.25,NA,NA,NA,NA,NA
"12","Q1","ARIMA",1986 Q4,1992 Q4,3383.35,NA,NA,NA,NA,NA
"13","Q1","ARIMA",1987 Q1,1992 Q4,3389.78,NA,NA,NA,NA,NA
"14","Q1","ARIMA",1987 Q2,1992 Q4,3368.6,NA,NA,NA,NA,NA
"15","Q1","ARIMA",1987 Q3,1992 Q4,3383.7,NA,NA,NA,NA,NA
"16","Q1","ARIMA",1987 Q4,1992 Q4,4950.95,NA,NA,NA,NA,NA
"17","Q1","ARIMA",1988 Q1,1992 Q4,5086.1,NA,NA,NA,NA,NA
"18","Q1","ARIMA",1988 Q2,1992 Q4,5203.95,NA,NA,NA,NA,NA
"19","Q1","ARIMA",1988 Q3,1992 Q4,5302.75,NA,NA,NA,NA,NA
"20","Q1","ARIMA",1988 Q4,1992 Q4,5268.75,NA,NA,NA,NA,NA
"21","Q1","ARIMA",1989 Q1,1992 Q4,5406.85,NA,NA,NA,NA,NA
"22","Q1","ARIMA",1989 Q2,1992 Q4,5472.5,NA,NA,NA,NA,NA
"23","Q1","ARIMA",1989 Q3,1992 Q4,5656.4,NA,NA,NA,NA,NA
"24","Q1","ARIMA",1989 Q4,1992 Q4,5770.3,NA,NA,NA,NA,NA
