"","series","method","timestamp","origin_timestamp","actual","forecast","Lo80","Hi80","Lo95","Hi95"
"1","Y1","ARIMA",1975,1988,940.66,NA,NA,NA,NA,NA
"2","Y1","ARIMA",1976,1988,1084.86,NA,NA,NA,NA,NA
"3","Y1","ARIMA",1977,1988,1244.98,NA,NA,NA,NA,NA
"4","Y1","ARIMA",1978,1988,1445.02,NA,NA,NA,NA,NA
"5","Y1","ARIMA",1979,1988,1683.17,NA,NA,NA,NA,NA
"6","Y1","ARIMA",1980,1988,2038.15,NA,NA,NA,NA,NA
"7","Y1","ARIMA",1981,1988,2342.52,NA,NA,NA,NA,NA
"8","Y1","ARIMA",1982,1988,2602.45,NA,NA,NA,NA,NA
"9","Y1","ARIMA",1983,1988,2927.87,NA,NA,NA,NA,NA
"10","Y1","ARIMA",1984,1988,3103.96,NA,NA,NA,NA,NA
"11","Y1","ARIMA",1985,1988,3360.27,NA,NA,NA,NA,NA
"12","Y1","ARIMA",1986,1988,3807.63,NA,NA,NA,NA,NA
"13","Y1","ARIMA",1987,1988,4387.88,NA,NA,NA,NA,NA
"14","Y1","ARIMA",1988,1988,4936.99,NA,NA,NA,NA,NA
"15","Y1","ARIMA",1989,1988,5379.75,5486.1,5363.60216503354,5608.59783496646,5298.75572828014,5673.44427171986
"16","Y1","ARIMA",1990,1988,6158.68,6035.21,5761.29651391844,6309.12348608156,5616.2954732392,6454.12452676079
"17","Y1","ARIMA",1991,1988,6876.58,6584.32,6125.97507093392,7042.66492906607,5883.3419218496,7285.29807815039
"18","Y1","ARIMA",1992,1988,7851.91,7133.42999999999,6462.48172543323,7804.37827456676,6107.30316359656,8159.55683640343
"19","Y1","ARIMA",1993,1988,8407.84,7682.53999999999,6774.07174164922,8591.00825835076,6293.15769550514,9071.92230449484
"20","Y1","ARIMA",1994,1988,9156.01,8231.64999999999,7063.09513136788,9400.20486863211,6444.49955045519,10018.8004495448
"21","Y2","ARIMA",1975,1988,1991.05,NA,NA,NA,NA,NA
"22","Y2","ARIMA",1976,1988,2306.4,NA,NA,NA,NA,NA
"23","Y2","ARIMA",1977,1988,2604,NA,NA,NA,NA,NA
"24","Y2","ARIMA",1978,1988,2992.3,NA,NA,NA,NA,NA
"25","Y2","ARIMA",1979,1988,3722.08,NA,NA,NA,NA,NA
"26","Y2","ARIMA",1980,1988,5226.62,NA,NA,NA,NA,NA
"27","Y2","ARIMA",1981,1988,5989.46,NA,NA,NA,NA,NA
"28","Y2","ARIMA",1982,1988,5614.62,NA,NA,NA,NA,NA
"29","Y2","ARIMA",1983,1988,5527,NA,NA,NA,NA,NA
"30","Y2","ARIMA",1984,1988,5389.8,NA,NA,NA,NA,NA
"31","Y2","ARIMA",1985,1988,5384.4,NA,NA,NA,NA,NA
"32","Y2","ARIMA",1986,1988,3656.2,NA,NA,NA,NA,NA
"33","Y2","ARIMA",1987,1988,4034.8,NA,NA,NA,NA,NA
"34","Y2","ARIMA",1988,1988,4230,NA,NA,NA,NA,NA
"35","Y2","ARIMA",1989,1988,4793.2,4230,3286.10589510579,5173.89410489421,2786.43853860366,5673.56146139634
"36","Y2","ARIMA",1990,1988,5602,4230,2895.13215541459,5564.86784458541,2188.49580317417,6271.50419682583
"37","Y2","ARIMA",1991,1988,5065,4230,2595.12745335847,5864.87254664153,1729.67820501316,6730.32179498684
"38","Y2","ARIMA",1992,1988,5056,4230,2342.21179021157,6117.78820978843,1342.87707720732,7117.12292279268
"39","Y2","ARIMA",1993,1988,5067.2,4230,2119.38861789522,6340.61138210478,1002.09844261884,7457.90155738116
"40","Y2","ARIMA",1994,1988,5209.6,4230,1917.94107178811,6542.05892821189,694.011007232569,7765.98899276743
"41","Y3","ARIMA",1975,1988,1461.57,NA,NA,NA,NA,NA
